Feature \ Sample	SRS011061	SRS011134	SRS011239
5|A0A0K1F3T2	0	0	0
5|A0A0M2NG28	0	0	0
5|A0A0M2NMU6	0	0	0
5|A0A0R1F6B2	0	0	0
5|A0A0R1GNH5	0	0	0
5|A0A0R1Q920	0	0	0
5|A0A0R1V613	0	0	0
5|A0A0R1WVJ9	0	0	0
5|A0A0R2AF79	0	0	0
5|A0A0R2FVZ1	0	0	0
5|A0A0R2H5D7	0	0	0
5|A0A0R2HSS6	0	0	0
5|A0A0U0K2C1	0	0	0
5|A0A0V8QAB4	0	0	0
5|A0A139T368	0	0	0
5|A0A143X8V0	0	0	0
5|A0A174H662	0	0	0
5|B6FW14	0	0	0.000155118
5|C2ELS4	0	0	0
5|E1QW05	0	0	0
5|E2NU26	0.000276416	0.0203015	0.000155118
5|E2SL65	0	0	0
5|E7S699	0	0	0
5|F2N714	0	0	0
5|F4GJ42	0	0	0
5|G7M8E5	0	0	0
5|H5T2V1	0	0	0
5|I9DK59	0	0	0
5|K6W9B3	0	0	0
5|M2NEK5	0	0	0
5|R2QS06	0	0	0
5|R2SDC2	0	0	0
5|R4JXW1	0	0	0
5|R7AA20	0	0	0
5|R9LQC8	0	0	0
5|U1WSM5	0	0	0
5|U2JZ67	0	0	0
5|U2TM27	0	0	0
5|X0PS46	0	0	0
6|A0A034T1M9	0	0	0
6|A0A080KEY8	0	0	0
6|A0A085GA67	0	0	0
6|A0A086GE88	0	0	0
6|A0A0A2VZ96	0	0	0
6|A0A0A3AQL5	0	0	0
6|A0A0A3FM33	0	0	0
6|A0A0S2SF42	0	0	0
6|A0A0T6PP92	0	0	0
6|A0A0T9PBU8	0	0	0
6|C4L934	0	0	0
6|D6HUM5	0	0	0
6|L8J9M3	0	0	0
7|A0A034T1P8	0	0	0
7|A0A084T2T3	0	0	0
7|A0A085FZE4	0	0	0.000930707
7|A0A096BHK0	0	0	0
7|A0A0A2VZB7	0	0	0
7|A0A0B4IQ12	0	0	0
7|A0A0E8XP40	0	0	0
7|A0A0F4NII5	0	0	0
7|A0A0H3FFE2	0	0	0
7|A0A0H3J2B1	0	0	0
7|A0A0I1P0K1	0	0	0
7|A0A0N8NM72	0	0	0
7|A0A0R2FPV6	0	0	0
7|A0A181XUE3	0	0	0
7|C2ELS8	0	0	0
7|C4LFY8	0	0	0
7|D0GPY5	0	0	0
7|D1AJA5	0	0	0
7|D4E0C4	0	0	0.000310236
7|D4F6M7	0	0	0.000354555
7|R2NU61	0	0	0
7|R2PXM8	0	0	0
7|R4K8C1	0	0	0
7|S0SCV5	0	0	0
7|X0PU04	0	0	0
8|A0A085EEH8	0	0	0
8|A0A099WS45	0	0	0
8|A0A099XSF3	0	0	0
8|A0A0A2DUQ6	0	0	0
8|A0A0A2E3U5	0	0	0
8|A0A0A2G7C0	0	0	0
8|A0A0D3L9D0	0	0	0
8|A0A0D7W2E1	0	0	0
8|A0A0D8JGC2	0	0	0
8|A0A0E9LVW0	0	0	0
8|A0A0G0LLF8	0	0	0
8|A0A0N8GN74	0	0	0
8|A0A0P0CKU4	0	0	0
8|A0A0P7AMN2	0	0	0
8|A0A0X8X1X0	0	0	0
8|A0A150AQH2	0	0	0
